"","Enclosed","Dome","Cavity","Open","Egg","Ground","Cooperative","Clutch","Migration","pred","tmean","dtr","hurs","rsds","vpd","precp","wind","Order"
"Poicephalus_cryptoxanthus",1,0,1,0,2.0949457282158,0,0,0.916290732,1,106.146116406408,23.8516034590644,9.51823503766575,59.370978550939,19.271655696373,1209.65520000593,81.4365199894964,2.3150534819418,"Psittaciformes"
"Poicephalus_flavifrons",1,0,1,0,2.28378127371503,0,0,1.243417106,1,87.6704119850187,19.1740729645099,10.6711571296949,57.8617602335231,19.5586160357376,984.900528468443,144.350057580498,1.49794254938464,"Psittaciformes"
"Poicephalus_gulielmi",1,0,1,0,2.60573647703521,0,0,1.098612289,1,144.425428439092,23.847275527738,7.88300104282586,67.4598733384576,16.9557774581897,966.822888434255,156.400827350708,1.1847622655867,"Psittaciformes"
"Poicephalus_meyeri",1,0,1,0,2.11926303586651,0,0,1.098612289,1,109.374669911459,23.3971880331233,11.2990590330914,52.94224367876,20.9778765834101,1402.4845312586,73.9604200870686,2.58627640642409,"Psittaciformes"
"Poicephalus_robustus",1,0,1,0,2.71229911433898,0,0,1.386294361,1,99.5869894362749,19.7775703169403,11.0867472200472,58.8044870978868,19.6876705794461,985.425214818051,92.7446955993269,2.68121193374609,"Psittaciformes"
"Poicephalus_rueppellii",1,0,1,0,2.12823170584927,0,0,1.386294361,1,94.5544993662864,22.380563327417,13.601218790458,48.1521225104515,22.6394135076686,1414.20987147342,38.3620837706778,2.91749906557544,"Psittaciformes"
"Poicephalus_rufiventris",1,0,1,0,2.02255705712666,0,0,1.243417106,1,73.3052084206995,25.7160580096844,10.1069779699604,54.305605898205,20.607368251996,1538.77307805653,37.3099196272929,3.46173696998661,"Psittaciformes"
"Poicephalus_senegalus",1,0,1,0,2.19722457733622,0,0,1.098612289,1,113.886595698458,27.4268533233039,11.1536290650468,51.8775580874221,20.4526550488552,1798.8140187398,88.5604177813931,2.67259203254102,"Psittaciformes"
"Polemaetus_bellicosus",0,0,0,1,5.2040066870768,0,0,0,1,94.461450729927,24.154708201887,11.5642241370325,51.986333212355,21.3789983536615,1510.40175271024,70.3500178520519,2.84132993502399,"Accipitriformes"
"Polihierax_insignis",1,0,1,0,2.63566612812879,0,1,1.120800204,1,105.825712143928,25.9480398584163,8.55903913735271,63.1128162401191,17.6431852069752,1245.7186884158,214.60951543462,2.19351315429096,"Falconiformes"
"Poliocephalus_poliocephalus",0,0,0,1,2.76000994003292,0,0,1.386294361,1,36.9873471109237,17.1355594733957,11.2196569285881,52.8777835979486,22.6757643187614,961.211594252182,37.4012280150035,4.10129818721242,"Podicipediformes"
"Poliocephalus_rufopectus",0,0,0,1,2.83907846350861,1,0,0.916290732,1,4.75,13.3621974820676,7.12985818282418,62.4433072960895,19.0518593166185,584.192715520444,109.889449617137,4.87621611875036,"Podicipediformes"
"Poliolais_lopezi",1,1,0,0,0.300104592450338,0,0,0.405465108,1,150.238095238095,20.5146904380954,8.43835261078919,65.9147035767432,16.8559902152237,844.213072484853,275.792199478668,1.35986245854371,"Passeriformes"
"Polioptila_albiloris",0,0,0,1,0.0463724046954796,0,0,0.916290732,1,84.9512195121951,24.2014065995449,9.67629978060722,59.3908232828466,20.2886692852509,1250.87693758709,111.152184021182,2.14237224242491,"Passeriformes"
"Polioptila_caerulea",0,0,0,1,-0.0356271776431512,0,0,1.098612289,3,61.4703328834908,17.5834150336457,11.8548246828543,52.961820425067,21.9926571087959,1023.8034497905,75.7916509770846,3.11110502366434,"Passeriformes"
"Polioptila_californica",0,0,0,1,-0.0202027073175195,0,0,1.386294361,1,48.5481611208406,20.1487548188445,12.1733309283148,50.5732169109552,26.9064932570984,1211.20989028209,5.22950938813741,3.232585172363,"Passeriformes"
"Polioptila_dumicola",0,0,0,1,0.101956241185296,0,0,1.098612289,1,126.390378487604,23.8937779961187,9.4156423401071,58.3720478032068,18.9115957234709,1254.47413735224,118.165701876749,2.66690405321268,"Passeriformes"
"Polioptila_lactea",0,0,0,1,0.0541154264241782,0,0,1.098612289,1,147.828227021597,21.5517863949479,9.03897651411791,61.6922413774737,19.4454354607598,999.790532064701,175.476625730858,2.81941356978064,"Passeriformes"
"Polioptila_lembeyei",0,0,0,1,-0.0508762655666846,0,0,1.386294361,1,8.57142857142857,26.1983304704939,6.53953198024205,61.9822365897042,20.1428448813302,1296.33558872768,90.4752306256975,3.00437320981707,"Passeriformes"
"Polioptila_melanura",0,0,0,1,-0.0618754037180875,0,0,1.386294361,1,69.9348943460879,21.500401285238,14.3663414347859,43.6846689434476,25.6842712055949,1523.91815236439,21.5841611049027,3.29375186415824,"Passeriformes"
"Polioptila_nigriceps",0,0,0,1,0.0187187538430004,0,0,1.098612289,1,79.4510028653295,22.4529029540141,14.8011505023115,47.0852874887024,25.2523315713877,1483.06474147676,33.5321878472167,2.04416460440972,"Passeriformes"
"Polioptila_plumbea",0,0,0,1,0.157003748809665,0,0,0.916290732,1,107.174300121024,19.9457278315085,7.71768860360884,66.9034607100978,17.6786310844652,826.615193035826,152.410867050857,1.7496048200695,"Passeriformes"
"Polioxolmis_rufipennis",0,0,0,1,1.29355223598867,0,0,0.99889426,1,44.6497283477149,8.39771397973296,10.9022612416276,59.5370471901923,21.3661440708798,455.888702012206,97.8919819161015,2.70513442155842,"Passeriformes"
"Polyboroides_radiatus",0,0,0,1,3.96081316959758,0,0,0.693147181,1,28.9373177842566,23.5007781338298,9.0173637841487,60.909496458441,19.9775381915423,1157.83064803113,138.437731404115,2.770926639959,"Accipitriformes"
"Polyboroides_typus",0,0,0,1,4.06902675423781,0,0,0.693147181,1,111.958426626793,23.8881486164313,10.2900324044534,57.2333995196111,19.9019402004222,1302.15221219432,100.100931177522,2.21535968635746,"Accipitriformes"
"Polyplectron_bicalcaratum",1,0,1,0,3.51154543883102,0,0,0.693147181,1,122.21571617363,22.687316255646,8.90348000733412,63.3236568780938,16.6796575283343,1029.61674996349,207.781885029788,1.97831146353457,"Galliformes"
"Polyplectron_chalcurum",0,0,0,1,3.1596437338805,0,0,0.693147181,1,152.358369098712,20.1516949915579,7.38895761096938,69.7017234180107,16.4313016019666,720.686786176821,302.765865931695,1.45466971179958,"Galliformes"
"Polyplectron_germaini",0,0,0,1,3.16258175267149,1,0,0.405465108,1,110.539325842697,24.3288237896751,7.93250614694888,65.3194749953595,18.1721963918164,1075.65619902307,185.701733935638,2.59683821263831,"Galliformes"
"Polyplectron_inopinatum",0,0,0,1,3.0334558386556,1,0,0.693147181,1,171.485294117647,21.4268774986267,7.84741365208345,67.9196388020235,17.095617869321,829.225752886604,271.726519640754,1.31047179681413,"Galliformes"
"Polyplectron_malacense",0,0,0,1,3.29787750544563,1,0,0,1,159.447608200456,26.2643187246996,6.84275808747103,66.6101863226749,18.192318097334,1144.45010939057,215.746308189861,1.52039634706219,"Galliformes"
"Polysticta_stelleri",0,0,0,1,4.00914971615887,1,0,1.945910149,3,12.467793030623,-8.4054143622195,6.1360015251065,71.3672906780948,14.5880426222571,157.043087049925,25.8849138455758,4.34106829192847,"Anseriformes"
"Polystictus_pectoralis",0,0,0,1,0.149489981627125,0,0,1.098612289,2,101.401300825985,22.1463505802129,9.49403814258943,58.193010960757,19.776977625217,1139.65607017754,125.076826224432,3.38542518308055,"Passeriformes"
"Polystictus_superciliaris",0,0,0,1,0.12219533070565,0,0,0.405465108,1,150.468049792531,20.6959327990583,9.06465498540411,60.5543519269381,18.1681569962086,974.36489002022,116.344537226887,2.99444410543719,"Passeriformes"
"Polytelis_alexandrae",1,0,1,0,2.04769284336526,0,0,1.609437912,2,32.416012423432,25.0725716915136,13.8043144496108,41.2763156760871,24.2128620741746,1944.96354408188,26.0336671223993,4.38016945930503,"Psittaciformes"
